ArchivesSpace URI,Agent Name,SNAC ARK,Update Status,Web URL
/agents/people/78188,"Allen, Lafon",http://n2t.net/ark:/99166/w6cc1k5p,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/78188
/agents/people/87815,"Allen, Nathaniel T. (Nathaniel Topliff), 1823-1903",http://n2t.net/ark:/99166/w6gq7mb0,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/87815
/agents/people/75328,"Allen, Parker B.",http://n2t.net/ark:/99166/w65t453k,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/75328
/agents/people/83369,"Allen, Riley Harris, 1884-1966",http://n2t.net/ark:/99166/w64n2xt9,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/83369
/agents/people/75381,"Allen, Shirley Walter",http://n2t.net/ark:/99166/w64v0fhs,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/75381
/agents/people/58627,"Allen, Stephen M. (Stephen Merrill), 1819-1894",http://n2t.net/ark:/99166/w6571z9s,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/58627
/agents/people/90384,"Allen, William Frederick, 1846-1915",http://n2t.net/ark:/99166/w6z344wc,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/90384
/agents/people/74650,"Allen, William S.",http://n2t.net/ark:/99166/w6m34m3r,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/74650
/agents/people/91347,"Allen, Yorke",http://n2t.net/ark:/99166/w6b306bx,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/91347
/agents/people/59656,"Allenby, Edmund Henry Hynman Allenby, Viscount, 1861-1936",http://n2t.net/ark:/99166/w66t1fvx,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/59656
/agents/people/57291,"Allende, Ignacio, 1769-1811",http://n2t.net/ark:/99166/w6wm94m7,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/57291
